Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1633827600000,54929.14,54981.82,54410.00,54412.74,11882.741,648834383.89530,130066,5392.916,294499529.59651
1633831200000,54412.74,54799.00,54101.00,54654.72,10639.213,579577433.37938,121742,5540.060,301938368.50624
1633834800000,54652.62,55209.99,54591.22,55076.40,8044.623,441858732.25061,93869,4179.842,229621860.49340
1633838400000,55075.01,56100.00,54871.85,55919.84,22353.933,1240485263.45036,216039,11575.512,642552303.73620
1633842000000,55919.85,56165.51,55428.53,55708.91,15389.051,857685196.78983,159987,7050.374,392933860.29391
1633845600000,55708.92,55894.23,55530.62,55660.10,6137.713,341781440.49009,85916,3065.087,170719016.16089
1633849200000,55660.10,55813.55,55464.32,55699.00,6324.305,351821881.97614,90888,3068.190,170692992.39078
1633852800000,55699.00,55980.00,55555.00,55619.00,8246.556,459719386.34644,110203,4219.013,235239397.32172
1633856400000,55619.00,55636.14,54837.98,55016.87,20903.091,1152055745.81365,210717,9466.804,521685777.46711
1633860000000,55016.87,55199.91,54710.00,55052.97,8008.415,440650553.34068,103041,3906.999,215054043.71569
1633863600000,55052.97,55350.55,54850.00,55182.23,7813.290,430478863.69164,102198,4006.423,220787597.75094
1633867200000,55182.24,55227.30,54750.00,54980.12,7869.501,432556552.59621,105510,3727.311,204872003.04360
1633870800000,54980.13,55350.00,54641.00,55246.67,12035.927,662839138.88062,138862,5751.298,316882604.40324
1633874400000,55245.51,55485.66,55130.00,55148.59,8061.659,445754119.62973,103490,4045.401,223729995.45581
1633878000000,55148.59,55600.00,55000.81,55383.24,9250.856,511531175.25263,115246,4861.989,268934597.40818
1633881600000,55383.23,55510.35,55194.46,55486.96,6603.739,365564238.84090,93163,3285.325,181890711.26349
